Name;Age;Position;2021 Team;2021 AB;2021 RBI;2020 Team;2020 AB;2020 RBI;AVG
Garcia, Leury;31;CF;CWS;415;54;CWS;59;8
Kepler, Max;29;RF;MIN;426;54;MIN;171;23
Crawford, J.P.;27;SS;SEA;619;54;SEA;204;24
Kiner-Falefa, Isiah;27;SS;TEX;635;53;TEX;211;10
Flores, Wilmer;30;2B;SF;389;53;SF;198;32
Chisholm Jr., Jazz;24;2B;MIA;464;53;MIA;56;6
Acuna Jr., Ronald;24;RF;ATL;297;52;ATL;160;29
Herrera, Odubel;30;CF;PHI;450;51;NA;NA;NA
Rodgers, Brendan;25;2B;COL;387;51;COL;21;2
Yelich, Christian;30;LF;MIL;399;51;MIL;200;22
Torres, Gleyber;25;SS;NYY;459;51;NYY;136;16
Wong, Kolten;31;2B;MIL;445;50;STL;181;16
Bader, Harrison;27;CF;STL;367;50;STL;106;11
Moran, Colin;29;1B;PIT;318;50;PIT;178;23
Santander, Anthony;27;RF;BAL;406;50;BAL;153;32
Marte, Ketel;28;CF;ARI;340;50;ARI;181;17
Tapia, Raimel;28;LF;COL;487;50;COL;184;17
McCormick, Chas;27;LF;HOU;284;50;NA;NA;NA
Pujols, Albert;42;1B;LAD;275;50;LAA;152;25
Springer, George;32;OF;TOR;299;50;HOU;189;32
Urshela, Gio;30;3B;NYY;420;49;NYY;151;30
Miller, Brad;32;2B;PHI;331;49;STL;142;25
Pham, Tommy;34;LF;SD;475;49;SD;109;12
Solak, Nick;27;2B;TEX;458;49;TEX;209;23
Smith, Pavin;26;RF;ARI;498;49;ARI;37;4
Vaughn, Andrew;24;LF;CWS;417;48;NA;NA;NA
Rojas, Miguel;33;SS;MIA;495;48;MIA;125;20
Iglesias, Jose;32;SS;BOS;483;48;BAL;142;24
Straw, Myles;27;CF;CLE;564;48;HOU;82;8
Brown, Seth;29;RF;OAK;281;48;OAK;5;0
Bohm, Alec;25;3B;PHI;380;47;PHI;160;23
Brantley, Michael;34;LF;HOU;469;47;HOU;170;22
Franco, Maikel;29;3B;ATL;377;47;KC;223;38
Gosselin, Phil;33;2B;LAA;345;47;PHI;92;12
Pillar, Kevin;33;CF;NYM;325;47;TYPE;TYPE;TYPE
Fletcher, David;27;SS;LAA;626;47;LAA;207;18
Walker, Christian;31;1B;ARI;401;46;ARI;218;34
Zimmerman, Ryan;37;3B;WSH;255;46;NA;NA;NA
Lux, Gavin;24;2B;LAD;335;46;LAD;63;8
Longoria, Evan;36;3B;SF;253;46;SF;193;28
Toro, Abraham;25;3B;SEA;335;46;HOU;87;9
Diaz, Aledmys;31;2B;HOU;294;45;HOU;58;6
Choi, Ji-Man;30;1B;TB;258;45;TB;122;16
DeJong, Paul;28;SS;STL;356;45;STL;152;25
Phillips, Brett;27;CF;TB;253;44;TYPE;TYPE;TYPE
Rojas, Josh;27;RF;ARI;484;44;ARI;61;2
Schwindel, Frank;29;1B;CHC;242;43;NA;NA;NA
Frazier, Adam;30;2B;SD;577;43;PIT;209;23
Lopez, Nicky;27;SS;KC;497;43;KC;169;13
Ruf, Darin;35;LF;SF;262;43;SF;87;18
Moore, Dylan;29;2B;SEA;332;43;SEA;137;17
Taylor, Tyrone;28;LF;MIL;243;43;MIL;38;6
Robert, Luis;24;CF;CWS;275;43;CWS;202;31
Kelenic, Jarred;22;LF;SEA;337;43;NA;NA;NA
Cabrera, Asdrubal;36;SS;CIN;309;42;WSH;190;31
Arraez, Luis;25;2B;MIN;428;42;MIN;112;13
Villar, Jonathan;30;3B;NYM;454;42;TYPE;TYPE;TYPE
Torreyes, Ronald;29;SS;PHI;318;41;PHI;7;0
Bradley, Bobby;25;1B;CLE;245;41;NA;NA;NA
Ramirez, Harold;27;CF;CLE;339;41;MIA;10;1
Upton, Justin;34;LF;LAA;318;41;LAA;147;22
Beaty, Matt;29;LF;LAD;204;40;LAD;50;5
Galvis, Freddy;32;SS;PHI;356;40;CIN;141;16
Odor, Rougned;28;2B;NYY;322;39;TEX;138;30
Shaw, Travis;32;3B;BOS;220;39;TOR;163;17
Franco, Wander;21;SS;TB;281;39;NA;NA;NA
Gardner, Brett;38;LF;NYY;387;39;NYY;130;15
Mayfield, Jack;31;2B;LAA;266;39;HOU;42;3
Laureano, Ramon;27;CF;OAK;341;39;OAK;183;25
Chang, Yu;26;1B;CLE;237;39;CLE;11;1
Newman, Kevin;28;SS;PIT;517;39;PIT;156;10
Urias, Ramon;27;2B;BAL;262;38;BAL;25;3
Hayes, Ke'Bryan;25;3B;PIT;362;38;PIT;85;11
Dickerson, Alex;31;LF;SF;283;38;SF;151;27
Varsho, Daulton;25;CF;ARI;284;38;ARI;101;9
