Name;Age;Position;2021 Team;2021 AB;2021 RBI;2020 Team;2020 AB;2020 RBI;AVG
Freeman, Mike;34;SS;CIN;59;3;CLE;38;3
Craig, Will;27;3B;PIT;60;3;PIT;4;0
Jones, Jahmai;24;2B;BAL;67;3;LAA;7;1
Nevin, Tyler;24;RF;BAL;14;3;NA;NA;NA
Rivas, Alfonso;25;1B;CHC;44;3;NA;NA;NA
Bruce, Jay;35;RF;NYY;34;3;PHI;96;14
Celestino, Gilberto;23;CF;MIN;59;3;NA;NA;NA
Cruz, Oneil;23;SS;PIT;9;3;NA;NA;NA
Moniak, Mickey;23;CF;PHI;33;3;PHI;14;0
Beer, Seth;25;1B;ARI;9;3;NA;NA;NA
Burger, Jake;26;3B;CWS;38;3;NA;NA;NA
Marcano, Tucupita;22;2B;PIT;44;3;NA;NA;NA
Barrero, Jose;24;SS;CIN;50;3;CIN;67;2
Trejo, Alan;25;2B;COL;46;3;NA;NA;NA
Bonifacio, Jorge;28;RF;PHI;11;2;DET;86;17
Kivlehan, Patrick;32;RF;SD;4;2;NA;NA;NA
Stokes Jr., Troy;26;LF;MIL;18;2;NA;NA;NA
Friedl, TJ;26;LF;CIN;31;2;NA;NA;NA
Adams, Matt;33;1B;COL;36;2;ATL;49;9
Brujan, Vidal;24;CF;TB;26;2;NA;NA;NA
Fairchild, Stuart;26;LF;ARI;15;2;NA;NA;NA
Allen, Greg;29;CF;NYY;37;2;TYPE;TYPE;TYPE
Hager, Jake;29;RF;ARI;26;2;NA;NA;NA
Welker, Colton;24;3B;COL;37;2;NA;NA;NA
Wilkerson, Stevie;30;2B;BAL;72;2;NA;NA;NA
Oliva, Jared;26;CF;PIT;40;2;PIT;16;0
Gonzalez, Romy;25;SS;CWS;32;2;NA;NA;NA
Florial, Estevan;24;CF;NYY;20;2;NYY;3;0
Fowler, Dustin;27;CF;MIA;41;2;NA;NA;NA
Quinn, Roman;28;CF;PHI;52;2;PHI;108;7
Thomas, Dillon;29;OF;SEA;9;2;NA;NA;NA
Marrero, Deven;31;3B;MIA;16;1;NA;NA;NA
De Goti, Alex;27;SS;HOU;6;1;NA;NA;NA
Guzman, Ronald;27;1B;TEX;16;1;TEX;78;9
Smith, Kevin;25;SS;TOR;32;1;NA;NA;NA
Tovar, Wilfredo;30;SS;NYM;11;1;NA;NA;NA
Deichmann, Greg;26;OF;CHC;30;1;NA;NA;NA
Terry, Curtis;25;1B;TEX;45;1;NA;NA;NA
Lee, Khalil;23;RF;NYM;18;1;NA;NA;NA
Wilson, Jacob;31;2B;HOU;20;1;NA;NA;NA
Fowler, Dexter;36;RF;LAA;20;1;STL;90;15
Sanchez, Adrian;31;SS;WSH;35;1;NA;NA;NA
Machin, Vimael;28;2B;OAK;32;1;OAK;63;0
Castillo, Ivan;26;2B;SD;3;1;NA;NA;NA
Fisher, Derek;28;OF;MIL;8;1;TOR;31;7
Jay, Jon;37;CF;LAA;14;1;ARI;50;4
Arteaga, Humberto;28;SS;WSH;3;1;NA;NA;NA
Motter, Taylor;32;2B;BOS;26;1;NA;NA;NA
Heath, Nick;28;CF;ARI;35;1;KC;13;3
Moroff, Max;28;2B;STL;16;1;NA;NA;NA
Williams, Mason;30;CF;NYM;33;1;BAL;18;0
Perdomo, Geraldo;22;SS;ARI;31;1;NA;NA;NA
Rios, Edwin;28;1B;LAD;51;1;LAD;76;17
Gushue, Taylor;28;1B;CHC;4;0;NA;NA;NA
Campbell, Eric;35;3B;SEA;11;0;NA;NA;NA
McBroom, Ryan;30;1B;KC;8;0;KC;81;10
Ladendorf, Tyler;34;2B;CHC;1;0;NA;NA;NA
Barrera, Luis;26;CF;OAK;8;0;NA;NA;NA
Ray, Corey;27;CF;MIL;2;0;NA;NA;NA
Amburgey, Trey;27;RF;NYY;4;0;NA;NA;NA
Reks, Zach;28;RF;LAD;10;0;NA;NA;NA
Davis, Jaylin;27;RF;SF;9;0;SF;12;1
Maybin, Cameron;35;CF;NYM;28;0;TYPE;TYPE;TYPE
Kozma, Pete;34;SS;OAK;11;0;NA;NA;NA
Lin, Tzu-Wei;28;SS;MIN;0;0;BOS;52;3
Kingery, Scott;28;2B;PHI;19;0;PHI;113;6
Giambrone, Trent;28;2B;CHC;13;0;NA;NA;NA
Lopez, Alejo;25;2B;CIN;23;0;NA;NA;NA
Wilson, Cody;25;OF;WSH;1;0;NA;NA;NA
Bishop, Braden;28;OF;SF;4;0;SEA;30;4
Camargo, Johan;28;3B;ATL;16;0;ATL;120;9
Munoz, Yairo;27;3B;BOS;11;0;BOS;45;4
Lopes, Tim;27;2B;MIL;10;0;SEA;143;15
Robson, Jacob;27;OF;DET;7;0;NA;NA;NA
Williams, Nick;28;RF;CWS;10;0;NA;NA;NA
Perez, Hernan;31;3B;MIL;19;0;CHC;6;0
Lowe, Josh;24;CF;TB;1;0;NA;NA;NA
Dorow, Ryan;26;3B;TEX;6;0;NA;NA;NA
Andreoli, John;31;OF;SD;6;0;NA;NA;NA
Kazmar Jr., Sean;37;SS;ATL;2;0;NA;NA;NA
Marte, Luis;28;SS;MIA;6;0;NA;NA;NA
Burns, Andy;31;3B;LAD;11;0;NA;NA;NA
Vilade, Ryan;23;LF;COL;6;0;NA;NA;NA
Dawson, Ronnie;26;CF;HOU;5;0;NA;NA;NA
Lopez, Jack;29;SS;BOS;13;0;NA;NA;NA
Riddle, JT;30;SS;MIN;6;0;PIT;67;1
Owen, Hunter;28;3B;PIT;4;0;NA;NA;NA
Schebler, Scott;31;OF;LAA;34;0;ATL;1;0
Gonzalez, Luis;26;RF;SF;8;0;CWS;1;0
Lopez, Otto;23;2B;TOR;1;0;NA;NA;NA
Payton, Mark;30;OF;NYM;22;0;CIN;18;0
Almora Jr., Albert;28;OF;NYM;52;0;CHC;30;1
Hoying, Jared;32;LF;TOR;3;0;NA;NA;NA
Miller, Brian;26;LF;MIA;11;0;NA;NA;NA
Padlo, Kevin;25;3B;SEA;13;0;NA;NA;NA
Tejeda, Anderson;23;SS;TEX;16;0;TEX;75;8
Hurst, Scott;26;CF;STL;5;0;NA;NA;NA
Haseley, Adam;26;CF;PHI;21;0;PHI;79;13
Harrison, Monte;26;CF;MIA;10;0;MIA;47;3
